"Date","Price","Open","High","Low","Vol.","Change %"
"04/26/2026","18.09","18.20","18.30","17.82","10.14M","-0.06%"
"04/19/2026","18.10","19.69","19.76","18.00","23.37M","-7.70%"
"04/12/2026","19.61","20.29","22.45","19.23","134.76M","-1.11%"
"04/05/2026","19.83","20.80","21.48","19.16","49.33M","-4.62%"
"03/29/2026","20.79","22.00","22.81","20.01","46.15M","-4.76%"
"03/22/2026","21.83","16.99","21.83","16.63","55.00M","31.51%"
"03/15/2026","16.60","17.15","17.41","15.64","95.72M","-1.78%"
"03/08/2026","16.90","17.87","18.12","16.16","45.81M","-6.47%"
"03/01/2026","18.07","20.35","20.93","17.93","40.39M","-12.62%"
"02/22/2026","20.68","18.77","21.17","18.46","90.97M","10.00%"
"02/15/2026","18.80","18.73","18.94","18.19","39.80M","0.00%"
"02/08/2026","18.80","18.86","19.18","18.51","31.37M","-0.11%"
"02/01/2026","18.82","18.70","19.44","18.36","29.65M","0.80%"
"01/25/2026","18.67","20.47","20.75","18.46","51.57M","-8.79%"
"01/18/2026","20.47","19.55","20.71","19.05","33.09M","4.39%"
"01/11/2026","19.61","19.05","19.87","18.95","51.47M","3.21%"
"01/04/2026","19.00","19.46","19.94","18.19","86.80M","-3.26%"
"12/28/2025","19.64","19.89","20.16","19.01","23.23M","-1.85%"
"12/21/2025","20.01","19.60","20.06","18.90","14.63M","2.41%"
"12/14/2025","19.54","19.98","20.23","19.14","39.30M","-1.61%"
"12/07/2025","19.86","19.62","20.04","18.98","38.38M","1.90%"
"11/30/2025","19.49","19.40","20.51","17.73","65.36M","0.83%"
"11/23/2025","19.33","21.00","21.64","19.25","80.19M","-6.62%"
"11/16/2025","20.70","24.63","26.83","20.47","88.89M","-15.16%"
"11/09/2025","24.40","18.41","24.40","18.38","61.11M","33.70%"
"11/02/2025","18.25","18.10","18.75","17.19","48.18M","2.13%"
"10/26/2025","17.87","15.48","19.88","15.46","108.49M","18.90%"
"10/19/2025","15.03","15.75","16.12","14.59","61.87M","-4.08%"
"10/12/2025","15.67","16.62","16.69","14.80","77.93M","-5.49%"
"10/05/2025","16.58","18.21","18.25","16.47","67.69M","-8.90%"
"09/28/2025","18.20","19.50","20.03","18.15","69.45M","-5.70%"
"09/21/2025","19.30","22.14","22.14","19.15","60.68M","-12.83%"
"09/14/2025","22.14","23.09","24.73","22.08","100.50M","-3.69%"
"09/07/2025","22.99","21.23","23.06","20.32","45.06M","9.17%"
"08/31/2025","21.06","22.00","22.56","20.88","17.37M","-5.54%"
"08/24/2025","22.29","20.23","22.44","20.16","24.02M","-1.80%"
"08/17/2025","22.70","23.00","23.96","22.15","35.49M","-2.83%"
"08/10/2025","23.36","22.31","23.41","21.03","25.19M","5.04%"
"08/03/2025","22.24","21.91","22.62","21.10","23.69M","3.83%"
"07/27/2025","21.42","23.35","23.90","20.85","29.13M","-7.91%"
"07/20/2025","23.26","22.55","23.69","22.43","20.47M","2.74%"
"07/13/2025","22.64","22.91","23.71","21.61","46.89M","-1.57%"
"07/06/2025","23.00","22.21","24.48","21.65","43.96M","3.46%"
"06/29/2025","22.23","22.34","22.99","21.81","24.25M","-1.20%"
"06/22/2025","22.50","23.42","24.74","21.81","26.44M","-3.52%"
"06/15/2025","23.32","25.33","25.66","23.26","40.45M","-7.39%"
"06/08/2025","25.18","24.70","25.88","24.43","35.65M","2.65%"
"06/01/2025","24.53","25.33","25.77","24.45","19.59M","-3.46%"
"05/25/2025","25.41","24.85","25.97","24.36","24.29M","2.29%"
"05/18/2025","24.84","24.76","25.62","22.93","60.09M","-0.92%"
"05/11/2025","25.07","20.00","26.03","19.38","77.12M","26.30%"
"05/04/2025","19.85","21.71","21.71","19.80","20.11M","-8.06%"
"04/27/2025","21.59","22.90","22.91","20.56","23.20M","-5.51%"
"04/20/2025","22.85","20.68","22.88","20.67","24.54M","10.39%"
"04/13/2025","20.70","20.17","20.90","19.65","26.85M","2.68%"
"04/06/2025","20.16","18.26","20.42","18.04","28.88M","8.68%"
"03/30/2025","18.55","18.00","18.96","17.67","26.54M","2.71%"
"03/23/2025","18.06","18.28","18.30","16.84","37.59M","-0.82%"
"03/16/2025","18.21","15.30","18.21","14.36","48.09M","19.33%"
"03/09/2025","15.26","14.79","15.40","14.46","28.07M","2.76%"
"03/02/2025","14.85","13.67","15.04","13.67","24.71M","8.95%"
"02/23/2025","13.63","13.84","15.33","13.39","47.11M","-1.16%"
"02/16/2025","13.79","14.54","14.76","13.44","22.58M","-4.50%"
"02/09/2025","14.44","14.99","15.40","13.97","35.13M","-2.70%"
"02/02/2025","14.84","15.95","16.04","14.63","41.17M","-6.61%"
"01/26/2025","15.89","15.60","16.24","15.54","20.78M","1.53%"
"01/19/2025","15.65","15.48","16.29","14.45","42.46M","1.10%"
"01/12/2025","15.48","16.53","16.91","14.99","49.95M","-8.19%"
"01/05/2025","16.86","16.95","17.12","16.10","45.94M","0.06%"
"12/29/2024","16.85","16.53","17.25","15.71","33.78M","1.51%"
"12/22/2024","16.60","16.72","16.93","15.52","43.75M","-1.19%"
"12/15/2024","16.80","16.60","17.54","15.91","81.72M","0.96%"
"12/08/2024","16.64","16.80","18.15","16.25","85.33M","-0.37%"
"12/01/2024","16.70","16.11","17.14","15.91","37.26M","3.84%"
"11/24/2024","16.09","15.73","16.40","15.52","42.81M","3.13%"
"11/17/2024","15.60","14.56","15.69","14.01","46.01M","7.69%"
"11/10/2024","14.48","12.93","14.82","12.93","44.82M","11.92%"
"11/03/2024","12.94","13.36","13.83","12.86","22.33M","-1.76%"
"10/27/2024","13.17","12.42","13.79","12.42","28.53M","6.37%"
"10/20/2024","12.38","12.48","12.69","12.12","20.12M","-0.69%"
"10/13/2024","12.47","10.92","12.55","10.80","29.67M","14.57%"
"10/06/2024","10.88","11.65","11.70","10.88","23.73M","-5.65%"
"09/29/2024","11.53","11.90","12.10","11.45","24.84M","-2.75%"
"09/22/2024","11.86","12.16","12.34","11.67","29.49M","-2.95%"
"09/15/2024","12.22","12.41","12.75","11.91","32.53M","-1.11%"
"09/08/2024","12.36","12.46","13.15","12.03","20.42M","-0.41%"
"09/01/2024","12.41","12.46","12.73","11.61","27.27M","-0.55%"
"08/25/2024","12.48","12.47","12.86","12.15","20.37M","0.00%"
"08/18/2024","12.48","11.35","12.90","11.27","39.14M","12.96%"
"08/11/2024","11.05","10.51","11.47","10.40","34.63M","6.35%"
"08/04/2024","10.39","9.56","10.44","9.48","20.87M","5.21%"
"07/28/2024","9.87","9.74","10.15","9.54","26.04M","1.50%"
"07/21/2024","9.73","9.62","9.79","9.20","19.37M","1.34%"
"07/14/2024","9.60","10.56","10.67","9.25","33.35M","-8.65%"
"07/07/2024","10.51","10.72","10.75","10.00","24.35M","-0.57%"
