"Date","Price","Open","High","Low","Vol.","Change %"
"04/26/2026","52.80","52.41","53.52","52.24","16.47M","1.07%"
"04/19/2026","52.24","51.36","53.12","50.59","42.81M","4.10%"
"04/12/2026","50.18","54.40","54.64","48.66","86.19M","-5.91%"
"04/05/2026","53.33","52.36","53.83","48.09","90.99M","1.69%"
"03/29/2026","52.44","54.08","55.44","50.51","81.23M","-2.21%"
"03/22/2026","53.63","48.21","53.94","48.21","82.51M","6.53%"
"03/15/2026","50.34","49.66","53.21","49.40","83.79M","1.94%"
"03/08/2026","49.38","47.04","50.32","45.81","89.45M","7.86%"
"03/01/2026","45.78","45.00","47.00","43.40","92.19M","7.14%"
"02/22/2026","42.73","40.94","43.58","40.89","52.25M","4.37%"
"02/15/2026","40.94","39.70","41.41","39.70","32.05M","3.12%"
"02/08/2026","39.70","38.87","41.49","38.79","49.99M","2.14%"
"02/01/2026","38.87","39.60","40.64","38.71","61.61M","-3.76%"
"01/25/2026","40.39","38.10","41.26","37.63","87.28M","7.08%"
"01/18/2026","37.72","33.81","38.10","33.81","92.60M","11.01%"
"01/11/2026","33.98","31.90","34.98","31.81","78.77M","6.52%"
"01/04/2026","31.90","32.32","32.39","30.99","59.51M","-1.24%"
"12/28/2025","32.30","32.29","32.68","31.93","28.82M","0.56%"
"12/21/2025","32.12","31.96","32.27","31.63","22.99M","1.19%"
"12/14/2025","31.74","32.51","32.55","31.06","84.07M","-1.80%"
"12/07/2025","32.32","32.28","32.72","31.87","48.61M","1.34%"
"11/30/2025","31.90","32.54","33.73","31.90","59.78M","-4.44%"
"11/23/2025","33.38","34.53","34.79","32.96","54.00M","-3.41%"
"11/16/2025","34.56","34.93","35.23","34.37","41.58M","-1.06%"
"11/09/2025","34.93","34.33","35.84","33.98","61.39M","1.90%"
"11/02/2025","34.28","31.82","34.29","31.45","66.32M","8.79%"
"10/26/2025","31.51","31.99","32.31","31.26","50.96M","-0.76%"
"10/19/2025","31.75","31.55","32.66","30.96","46.19M","0.35%"
"10/12/2025","31.64","32.19","32.67","31.34","62.91M","-0.85%"
"10/05/2025","31.91","33.31","33.34","31.74","47.79M","-3.51%"
