"Date","Price","Open","High","Low","Vol.","Change %"
"04/26/2026","84.36","86.15","86.30","84.12","22.24M","-1.76%"
"04/19/2026","85.87","88.80","89.44","85.71","53.30M","-4.32%"
"04/12/2026","89.75","85.11","89.75","84.92","111.00M","4.86%"
"04/05/2026","85.59","84.04","86.72","82.60","90.74M","2.44%"
"03/29/2026","83.55","80.25","84.04","79.29","86.16M","5.76%"
"03/22/2026","79.00","76.56","80.25","75.97","82.03M","4.57%"
"03/15/2026","75.55","79.39","80.20","74.06","118.32M","-3.51%"
"03/08/2026","78.30","77.72","80.99","76.55","111.80M","-0.71%"
"03/01/2026","78.86","87.92","89.16","78.40","134.98M","-10.86%"
"02/22/2026","88.47","86.81","90.33","86.42","111.47M","1.91%"
"02/15/2026","86.81","85.10","86.81","82.33","89.80M","-0.25%"
"02/08/2026","87.03","86.65","91.62","84.63","149.22M","1.63%"
"02/01/2026","85.63","84.42","89.59","84.04","197.67M","1.55%"
"01/25/2026","84.32","85.56","89.50","82.18","178.78M","-0.82%"
"01/18/2026","85.02","78.52","85.74","77.41","212.88M","7.78%"
"01/11/2026","78.88","75.00","79.64","74.28","163.09M","5.57%"
"01/04/2026","74.72","72.40","77.34","72.30","162.69M","3.23%"
"12/28/2025","72.38","73.19","73.74","71.65","65.45M","-1.01%"
"12/21/2025","73.12","71.03","73.53","70.81","61.34M","3.20%"
"12/14/2025","70.85","68.65","71.12","68.50","123.62M","3.26%"
"12/07/2025","68.61","66.92","68.98","65.47","130.56M","2.82%"
"11/30/2025","66.73","64.43","68.79","64.14","158.78M","4.18%"
"11/23/2025","64.05","61.78","64.44","61.56","127.87M","3.44%"
"11/16/2025","61.92","62.34","62.50","60.94","79.35M","-5.13%"
"11/09/2025","65.27","65.06","66.45","64.61","100.16M","0.76%"
"11/02/2025","64.78","65.10","66.17","64.02","98.26M","-0.74%"
"10/26/2025","65.26","62.06","65.55","61.40","123.06M","5.72%"
"10/19/2025","61.73","60.14","62.54","60.14","78.70M","2.66%"
"10/12/2025","60.13","59.67","60.98","59.22","126.16M","2.14%"
"10/05/2025","58.87","58.81","60.38","58.75","117.69M","0.48%"
"09/28/2025","58.59","57.50","59.12","57.09","86.06M","2.63%"
"09/21/2025","57.09","57.82","58.55","56.54","94.54M","-1.43%"
"09/14/2025","57.92","57.48","58.19","56.98","93.89M","1.61%"
"09/07/2025","57.00","56.23","57.52","56.05","73.78M","1.39%"
"08/31/2025","56.22","55.14","56.67","54.81","51.46M","1.19%"
"08/24/2025","55.56","55.17","56.19","54.68","73.82M","1.41%"
"08/17/2025","54.79","53.10","54.89","52.86","71.51M","2.76%"
"08/10/2025","53.32","53.60","54.50","53.00","143.06M","-0.36%"
"08/03/2025","53.51","52.55","53.81","51.91","99.53M","3.05%"
"07/27/2025","51.93","53.08","53.81","50.59","130.49M","-3.50%"
"07/20/2025","53.81","53.57","56.00","53.40","142.60M","-1.37%"
"07/13/2025","54.56","55.86","55.91","53.52","110.29M","-2.57%"
"07/06/2025","56.00","55.05","57.12","53.75","116.67M","1.45%"
"06/29/2025","55.20","52.79","55.88","52.44","128.39M","4.15%"
"06/22/2025","53.00","50.02","53.09","49.72","124.89M","6.17%"
"06/15/2025","49.92","52.31","54.05","49.92","144.81M","-4.24%"
"06/08/2025","52.13","52.89","53.87","51.96","69.82M","-1.60%"
"06/01/2025","52.98","52.58","53.66","51.87","72.80M","1.69%"
"05/25/2025","52.10","53.94","54.21","52.05","81.21M","-4.09%"
"05/18/2025","54.32","55.00","55.53","53.59","72.49M","-2.11%"
"05/11/2025","55.49","54.56","55.69","54.13","95.93M","4.80%"
"05/04/2025","52.95","52.90","53.58","52.51","66.35M","0.28%"
"04/27/2025","52.80","53.90","54.34","52.21","59.62M","-1.95%"
"04/20/2025","53.85","53.16","55.67","52.76","80.82M","1.83%"
"04/13/2025","52.88","54.40","54.88","52.42","83.50M","-1.45%"
"04/06/2025","53.66","51.71","54.15","48.77","198.97M","1.86%"
"03/30/2025","52.68","56.72","57.93","51.60","123.74M","-8.48%"
